title,artist,genre,mood
As It Was,Harry Styles,Pop,Happy
Levitating,Dua Lipa,Pop,Energetic
Someone Like You,Adele,Pop,Sad
Perfect,Ed Sheeran,Pop,Romantic
Blinding Lights,The Weeknd,Pop,Energetic
Watermelon Sugar,Harry Styles,Pop,Happy
Stay,The Kid LAROI,Hip-Hop,Sad
Starboy,The Weeknd,R&B,Confident
Call Out My Name,The Weeknd,R&B,Sad
Peaches,Justin Bieber,R&B,Chill
Redbone,Childish Gambino,R&B,Chill
Come Through,H.E.R.,R&B,Romantic
HUMBLE,Kendrick Lamar,Hip-Hop,Confident
DNA,Kendrick Lamar,Hip-Hop,Energetic
Goosebumps,Travis Scott,Hip-Hop,Chill
Sicko Mode,Travis Scott,Hip-Hop,Energetic
Power,Kanye West,Hip-Hop,Confident
Runaway,Kanye West,Hip-Hop,Sad
Smells Like Teen Spirit,Nirvana,Rock,Energetic
Come As You Are,Nirvana,Rock,Chill
Bohemian Rhapsody,Queen,Rock,Romantic
Don't Stop Me Now,Queen,Rock,Happy
505,Arctic Monkeys,Indie,Sad
Do I Wanna Know,Arctic Monkeys,Indie,Chill
Fluorescent Adolescent,Arctic Monkeys,Indie,Happy
Electric Feel,MGMT,Indie,Chill
Time to Pretend,MGMT,Indie,Energetic
Take Me Out,Franz Ferdinand,Indie,Energetic
Midnight City,M83,Electronic,Chill
Wait,M83,Electronic,Sad
Get Lucky,Daft Punk,Electronic,Happy
Instant Crush,Daft Punk,Electronic,Romantic
Titanium,David Guetta,Electronic,Energetic
Lean On,Major Lazer,Electronic,Happy
Summertime Sadness,Lana Del Rey,Indie,Sad
